,timestamp,open,high,low,close,ema_short,ema_long,atr,adx
11050,2025-01-30 07:14:00,21615.0,21622.0,21615.0,21620.25,21627.35,21634.21,8.8953,28.11
11051,2025-01-30 07:16:00,21616.75,21618.5,21605.0,21605.75,21621.18,21630.1,9.1316,29.36
11052,2025-01-30 07:18:00,21602.0,21604.25,21586.25,21586.75,21611.3,21623.88,9.5076,32.57
11053,2025-01-30 07:20:00,21588.0,21589.0,21584.5,21585.25,21602.28,21617.36,9.1329,36.25
11054,2025-01-30 07:22:00,21577.25,21585.5,21576.5,21579.75,21593.69,21610.58,9.4296,40.22
11055,2025-01-30 07:24:00,21580.25,21586.0,21579.25,21585.25,21589.89,21605.79,9.1434,43.44
11056,2025-01-30 07:26:00,21586.5,21588.5,21577.0,21581.0,21587.61,21601.97,9.1198,44.59
11057,2025-01-30 07:28:00,21588.25,21594.25,21585.75,21590.5,21588.29,21599.79,9.0344,44.87
11058,2025-01-30 07:30:00,21581.25,21589.0,21578.25,21587.75,21587.1,21597.18,9.42,45.03
11059,2025-01-30 07:32:00,21583.75,21584.25,21578.0,21580.75,21585.29,21594.58,9.1823,44.91
11060,2025-01-30 07:34:00,21588.25,21596.0,21588.25,21596.0,21587.99,21594.23,9.2337,42.17
11061,2025-01-30 07:36:00,21595.0,21603.25,21594.0,21602.5,21592.01,21595.04,9.153,37.19
11062,2025-01-30 07:38:00,21605.75,21616.75,21605.0,21616.0,21599.01,21597.83,9.1128,33.76
11063,2025-01-30 07:40:00,21614.0,21621.5,21612.25,21620.5,21605.58,21601.17,8.883,32.31
11064,2025-01-30 07:42:00,21620.25,21623.75,21619.25,21622.0,21611.13,21604.6,8.2958,31.95
11065,2025-01-30 07:44:00,21620.25,21627.5,21619.5,21623.75,21615.04,21607.59,8.0727,31.57
11066,2025-01-30 07:46:00,21620.25,21622.5,21612.0,21617.0,21616.3,21609.51,8.1915,30.06
11067,2025-01-30 07:48:00,21623.0,21629.0,21620.25,21627.5,21619.65,21612.28,8.3347,28.97
11068,2025-01-30 07:50:00,21628.5,21631.25,21628.0,21629.75,21623.01,21615.17,7.8333,29.01
11069,2025-01-30 07:52:00,21625.0,21632.0,21625.0,21627.0,21624.09,21617.04,7.6866,27.78
11070,2025-01-30 07:54:00,21627.5,21636.25,21626.5,21632.75,21626.24,21619.27,7.6392,27.5
11071,2025-01-30 07:56:00,21632.25,21634.5,21629.25,21629.25,21627.77,21621.23,7.2106,28.19
11072,2025-01-30 07:58:00,21628.0,21629.5,21622.75,21626.25,21627.54,21622.26,7.0974,26.69
11073,2025-01-30 08:00:00,21626.5,21631.0,21625.5,21631.0,21628.15,21623.45,6.7779,25.35
11074,2025-01-30 08:02:00,21622.75,21627.0,21618.25,21622.75,21626.32,21623.39,7.4143,22.29
11075,2025-01-30 08:04:00,21622.5,21626.5,21621.25,21625.25,21625.34,21623.4,7.3152,19.77
11076,2025-01-30 08:06:00,21627.25,21631.0,21623.75,21630.75,21626.73,21624.39,7.472,19.14
11077,2025-01-30 08:08:00,21633.75,21636.5,21628.0,21636.0,21629.7,21626.22,7.5804,19.94
11078,2025-01-30 08:10:00,21637.75,21641.5,21631.25,21640.5,21633.15,21628.47,7.7824,21.63
11079,2025-01-30 08:12:00,21637.75,21646.0,21637.0,21644.75,21636.29,21630.76,7.8672,22.95
11080,2025-01-30 08:14:00,21643.25,21645.25,21641.5,21645.25,21639.23,21633.13,7.4161,24.34
11081,2025-01-30 08:16:00,21643.5,21644.5,21638.75,21639.75,21639.9,21634.53,7.2363,25.5
11082,2025-01-30 08:18:00,21647.25,21649.5,21640.0,21640.75,21641.17,21636.1,7.5482,27.12
11083,2025-01-30 08:20:00,21638.75,21642.0,21635.5,21635.75,21639.66,21636.27,7.3375,26.53
11084,2025-01-30 08:22:00,21634.0,21638.75,21631.75,21637.25,21638.15,21636.11,7.2412,23.96
11085,2025-01-30 08:24:00,21631.75,21631.75,21626.0,21627.75,21635.01,21634.97,7.2514,21.15
11086,2025-01-30 08:26:00,21630.5,21637.0,21630.25,21634.5,21634.18,21634.56,7.1823,19.13
11087,2025-01-30 08:28:00,21630.0,21631.75,21624.0,21629.5,21632.58,21633.72,7.3434,17.16
11088,2025-01-30 08:30:00,21631.25,21639.75,21630.25,21636.5,21633.19,21633.79,7.3586,16.18
11089,2025-01-30 08:32:00,21639.25,21665.0,21639.25,21663.5,21640.22,21636.94,10.8373,15.79
11090,2025-01-30 08:34:00,21655.0,21655.25,21643.75,21644.75,21643.41,21639.1,10.8788,14.63
11091,2025-01-30 08:36:00,21642.5,21644.5,21631.25,21633.5,21641.28,21638.87,11.1557,16.28
11092,2025-01-30 08:38:00,21623.5,21624.0,21616.0,21620.5,21634.16,21635.87,11.4672,19.89
11093,2025-01-30 08:40:00,21617.75,21623.25,21614.25,21619.0,21628.54,21632.86,11.4921,23.38
11094,2025-01-30 08:42:00,21626.25,21628.0,21614.25,21615.25,21625.44,21630.67,11.7866,25.05
11095,2025-01-30 08:44:00,21618.75,21624.5,21611.0,21613.25,21621.97,21628.12,11.9728,26.69
